全国書誌番号,ISBN,ISSN,タイトル・著者,版表示,シリーズ,出版事項,大きさ等
23517166,978-4-902617-35-1,,デンマーク「希望の絆」 : 東日本大震災から10年の記憶と記録 / 野口武 取材・文 ; 日本デンマーク協会 企画・編集,,,"東京 : マイティブック, 2021.3",207 p ; 21 cm
23508431,978-4-902628-33-3,,研究発表会講演集 = Abstracts of the 58th annual meeting of the Japan Landslide Society. 第58回,,,"[東京] : 日本地すべり学会, [2019]",CD-ROM 1枚 ; 12 cm
23552017,978-4-902629-60-6,,"青山学院一五〇年史. 資料編 2 / 青山学院150年史編纂本部・編纂委員会, 青山学院資料センター150年史編纂室 編集",,,"東京 : 青山学院, 2021.3","29, 853 p ; 22 cm"
23543792,978-4-902630-29-9,,"ミューチュアル・アクションリサーチ = MUTUAL ACTION RESEARCH : M.ニューマン""拡張する意識としての健康""の理論にもとづく質的・実践的・協働的看護研究法 / 三次真理, 遠藤惠美子 著",,,"和光 : すぴか書房, 2021.5",185p ; 21cm
23596164,978-4-902630-30-5,,"統合失調症急性期看護学 : 患者理解の方法と理論にもとづく実践 / 阿保順子, 岡田実, 東修, 那須典政",,,"和光 : すぴか書房, 2021.9",173 p ; 26 cm
23474280,978-4-902644-14-2,,悲しみは悲しみのままで : 五年間の心の記録 / 八田圭子 著,,,"京都 : 糺書房, 2020.10",149p ; 21cm
23473540,978-4-902644-15-9,,"服部未石亭の鉱物・化石・岩石コレクション : 江戸時代近江石部の弄石家 / 横山卓雄, 服部泰三 編著.",,,"京都 : 益富地学会館, 2020.10.",77p 図版 10p ; 27cm.
23581465,978-4-902644-15-9,,私の戦時体験 : 次世代に伝えたい / 髙林實結樹 [著],,,"京都 : 糺書房, 2021.8",31 p ; 21 cm
23623669,978-4-902644-16-6,,小学6年生の時に感じた戦争への疑問 / 髙林實結樹 [著],,,"京都 : 糺書房, 2021.10",37 p ; 21 cm
23597192,978-4-902645-76-7,,いでそよひとを : 歌文集 / 中嶋和枝,,海市双書 ; 第36篇,"神戸 : 北羊館, 2021.8",241 p ; 20 cm
23487567,978-4-902666-38-0,,課題解決のための専門図書館ガイドブック / 専門図書館協議会私立図書館小委員会 編,,,"東京 : 読書工房, 2020.8",175p ; 26cm
