全国書誌番号,ISBN,ISSN,タイトル・著者,版表示,シリーズ,出版事項,大きさ等
23490065,978-4-86675-133-7,,怪人開発部の黒井津さん. 1 / 水崎弘明 著,,メテオCOMICS,"東京 : フレックスコミックス, 2021.1",150p ; 19cm
23490047,978-4-86675-134-4,,魔王様に召喚されたけど言葉が通じない。. 2 / うたしま 著,,METEOR COMICS,"東京 : フレックスコミックス, 2021.1",144p ; 19cm
23490876,978-4-86675-135-1,,親友王子と腰巾着 : 推しの王子に求婚されて困ってます. 1 / 真籠縁 原作 ; 流星ハニー 漫画,,POLARIS COMICS,"東京 : フレックスコミックス, 2021.1",168p ; 19cm
23484349,978-4-86675-136-8,,33歳独身女騎士隊長。 = 33 Years Old Single Female Knight-Captain. 2 / 天原 著,,,"東京 : BookLive, 2021.1",151p ; 21cm
23489996,978-4-86675-137-5,,怨霊奥様. 6 / 若狭たけし 著,,,"東京 : BookLive, 2021.1",156p ; 19cm
23499152,978-4-86675-138-2,,でこぼこ魔女の親子事情. 2 / ピロヤ 著,,METEOR COMICS,"東京 : フレックスコミックス, 2021.2",141p ; 19cm
23499255,978-4-86675-139-9,,社畜ねこ. 1 / 清水幸詩郎 著,,POLARIS COMICS,"東京 : フレックスコミックス, 2021.2",158p ; 19cm
23499340,978-4-86675-140-5,,"末期ガンでも元気です = I'm a terminal cancer patient,but I'm fine. : 38歳エロ漫画家、大腸ガンになる / ひるなま 著",,POLARIS COMICS,"東京 : フレックスコミックス, 2021.2",158p ; 21cm
23509678,978-4-86675-141-2,,魔王様と結婚したい = I want to marry The Devil. 3 / 池内たぬま 著,,メテオCOMICS,"東京 : フレックスコミックス, 2021.3",151p ; 19cm
23517264,978-4-86675-142-9,,星界の紋章 = CREST OF THE STARS. 8 / 森岡浩之 原作 ; 米村孝一郎 漫画,,メテオCOMICS,"東京 : フレックスコミックス, 2021.4",157p ; 19cm
23509817,978-4-86675-143-6,,推しが我が家にやってきた! 4 / 慎本真 著,,POLARIS COMICS,"東京 : フレックスコミックス, 2021.3",1冊 ; 19cm
23509814,978-4-86675-144-3,,タイムスリップオタガール = TIME SLIP OTAGIRL. 7 / 佐々木陽子 著,,POLARIS COMICS,"東京 : フレックスコミックス, 2021.3",1冊 ; 19cm
23517233,978-4-86675-145-0,,お湯でほころぶ雪芽先輩. 1 / 三簾真也 著,,メテオCOMICS,"東京 : フレックスコミックス, 2021.4",172p ; 19cm
23517234,978-4-86675-146-7,,手玉に取りたい黒木屋さん. 2 / ポロロッカ 著,,METEOR COMICS,"東京 : フレックスコミックス, 2021.4",160p ; 19cm
23530161,978-4-86675-147-4,,魔剣使いの元少年兵は、元敵幹部のお姉さんと一緒に生きたい = A former child soldier who uses a magic sword wants to live with a lady of former enemy executive. 01 / 牧田ロン 漫画 ; 支倉文度 原作 ; ox キャラクター原案,,メテオCOMICS,"東京 : フレックスコミックス, 2021.5",172p ; 19cm
23525129,978-4-86675-148-1,,お嬢さま、ヤンキー執事でございます = YOUNG LADY I'M A YANKEE BUTLER. 1 / 新矢りん 著,,POLARIS COMICS,"東京 : フレックスコミックス, 2021.5",140p ; 19cm
23540315,978-4-86675-149-8,,咲ちゃんは淫魔の子〈合掌〉. 1 / ほとむら 著,,METEOR COMICS,"東京 : フレックスコミックス, 2021.6",160p ; 19cm
23540988,978-4-86675-150-4,,厨娘公主の美食外交録. 1 / 黒八 漫画 ; 藤春都 原作 ; ゆき哉 キャラクター原案,,POLARIS COMICS,"東京 : フレックスコミックス, 2021.6",172p ; 19cm
23540300,978-4-86675-151-1,,ニーナさんの魔法生活 = DAILY LIFE OF SORCERESS NINA. 4 / 高梨りんご 著,,メテオCOMICS,"東京 : フレックスコミックス, 2021.6",159p ; 19cm
23539789,978-4-86675-152-8,,邪神ちゃんドロップキック = DROPKICK ON MY DEVIL! 17 / ユキヲ 著,,メテオCOMICS,"東京 : フレックスコミックス, 2021.6",143p ; 19cm
23567064,978-4-86675-153-5,,アラフォー冒険者、伝説となる : SSランクの娘に強化されたらSSSランクになりました. 1 / タッ公 漫画 ; 延野正行 原作 ; ox キャラクター原案,,メテオCOMICS,"東京 : フレックスコミックス, 2021.7",172p ; 19cm
23567065,978-4-86675-154-2,,魔物の国と裁縫使い = The Land of monsters & the tailor : 凍える国の裁縫師、伝説の狼に懐かれる. 1 / 駄犬めし 漫画 ; 今際之キワミ 原作 ; 狐ノ沢 キャラクター原案,,METEOR COMICS,"東京 : フレックスコミックス, 2021.7",164p ; 19cm
23555646,978-4-86675-155-9,,怪人開発部の黒井津さん = KUROITSU san from the Monster Development Department. 2 / 水崎弘明 著,,メテオCOMICS,"東京 : フレックスコミックス, 2021.7",138p ; 19cm
23555642,978-4-86675-156-6,,理系が恋に落ちたので証明してみた。. 10 / 山本アリフレッド 著,,メテオCOMICS,"東京 : フレックスコミックス, 2021.7",169p ; 19cm
23566705,978-4-86675-157-3,,おじさんが私の恋を応援しています〈脳内〉 = OJISAN IS CHEERING FOR MY LOVE(IN MY BRAIN). 1 / 井野ジュン 著,,POLARIS COMICS,"東京 : フレックスコミックス, 2021.7",174p ; 19cm
23567793,978-4-86675-158-0,,かくりよ神獣紀 : 異世界で、神様のお医者さんはじめます。. 1 / イヌ乃さえこ 漫画 ; 糸森環 原作 ; Izumi キャラクター原案,,POLARIS COMICS,"東京 : フレックスコミックス, 2021.7",166p ; 19cm
23555719,978-4-86675-159-7,,怨霊奥様. 7 / 若狭たけし 著,,,"東京 : BookLive, 2021.7",1冊 ; 19cm
